year,reporter,partner,co2_tonnes
2016,JPN,KOR,28123.58019947374
2016,JPN,MEX,66498.9846404911
2016,JPN,MYS,45325.16126125309
2016,JPN,THA,97314.67668634512
2016,JPN,USA,706464.8993572372
2016,JPN,VNM,42302.13908594927
2016,KOR,CAN,13025.606942154489
2016,KOR,CHN,66927.38064866142
2016,KOR,DEU,85185.06627934528
2016,KOR,JPN,29211.408721171858
2016,KOR,MEX,64682.45410202345
2016,KOR,MYS,20058.830152582814
2016,KOR,THA,14797.53892148238
2016,KOR,USA,415362.71867175936
2016,KOR,VNM,61322.8155345901
2016,MEX,CAN,22073.525375761306
2016,MEX,CHN,573791.078355811
2016,MEX,DEU,97443.80273976203
2016,MEX,JPN,103992.54235191963
2016,MEX,KOR,81886.08975133629
2016,MEX,MYS,83693.20483230293
2016,MEX,THA,72278.69819838976
2016,MEX,USA,409093.81862627354
2016,MEX,VNM,31802.94711061597
2016,MYS,CAN,4295.8787536106865
2016,MYS,CHN,94424.47259963525
2016,MYS,DEU,60181.15233445476
2016,MYS,JPN,51405.05218794249
2016,MYS,KOR,18007.125617633592
2016,MYS,MEX,21762.05880713507
2016,MYS,THA,11510.521041364103
2016,MYS,USA,234145.70214313985
2016,MYS,VNM,3127.0579872708763
2016,THA,CAN,6286.56635008004
2016,THA,CHN,78647.63666410735
2016,THA,DEU,49956.99368347819
2016,THA,JPN,98270.8356774968
2016,THA,KOR,13461.18033132244
2016,THA,MEX,31638.275203635396
2016,THA,MYS,10928.91695179695
2016,THA,USA,250324.22687785994
2016,THA,VNM,3266.493580875089
2016,USA,CAN,220579.74789249542
2016,USA,CHN,2902005.1441194043
2016,USA,DEU,545048.0484734569
2016,USA,JPN,675685.4304592945
2016,USA,KOR,398058.0166289695
2016,USA,MEX,474987.7530822414
2016,USA,MYS,364592.8148931146
2016,USA,THA,282554.7487108451
2016,USA,VNM,162139.8113908483
2016,VNM,CAN,9906.398136667278
2016,VNM,CHN,70137.28850533454
2016,VNM,DEU,34673.744622064274
2016,VNM,JPN,44804.96210417417
2016,VNM,KOR,59670.46295559516
2016,VNM,MEX,14137.470444818247
2016,VNM,MYS,2566.4688698412115
2016,VNM,THA,3177.756110806715
2016,VNM,USA,140664.21792806915
2017,CAN,CHN,247200.485013356
2017,CAN,DEU,57454.8349759793
2017,CAN,JPN,55691.93146789684
2017,CAN,KOR,19151.687794337908
2017,CAN,MEX,43204.84924242543
2017,CAN,MYS,15261.493923026846
2017,CAN,THA,14600.798722361435
2017,CAN,USA,197809.99270902644
2017,CAN,VNM,13871.330770197495
2017,CHN,CAN,111972.18816323671
2017,CHN,DEU,718389.3661007809
2017,CHN,JPN,245971.3836428642
2017,CHN,KOR,92664.04071228119
2017,CHN,MEX,270469.81861707236
2017,CHN,MYS,144871.65708547828
2017,CHN,THA,98956.13952050978
2017,CHN,USA,2730330.1741884593
2017,CHN,VNM,105855.06659452312
2017,DEU,CAN,46383.9487605773
2017,DEU,CHN,951629.8697171223
2017,DEU,JPN,187789.67575399822
2017,DEU,KOR,115987.11497352009
2017,DEU,MEX,100688.96946900945
2017,DEU,MYS,89866.17669794633
2017,DEU,THA,63617.251452384706
2017,DEU,USA,740860.4394938835
2017,DEU,VNM,50870.710720229596
2017,JPN,CAN,20662.494318564477
2017,JPN,CHN,247205.75955616974
2017,JPN,DEU,137847.90172028154
2017,JPN,KOR,35863.42685441686
2017,JPN,MEX,72607.49827736901
2017,JPN,MYS,50913.53316242519
2017,JPN,THA,104506.79719010233
2017,JPN,USA,757566.193644135
2017,JPN,VNM,49797.47523337447
2017,KOR,CAN,13322.363294677814
2017,KOR,CHN,79894.71942687068
2017,KOR,DEU,100735.32056573585
